k,b,number of followers
3,95,148
3,90,142
3,85,135
3,80,129
3,75,121
3,70,106
3,65,101
3,60,94
3,55,88
3,50,81
3,45,69
3,40,63
3,35,57
3,30,51
3,25,44
3,20,38
3,15,30
3,10,22
3,5,12
3,0,0
4,95,88
4,90,85
4,85,79
4,80,73
4,75,70
4,70,67
4,65,62
4,60,58
4,55,53
4,50,48
4,45,45
4,40,42
4,35,39
4,30,33
4,25,28
4,20,23
4,15,20
4,10,14
4,5,12
4,0,0
5,95,68
5,90,65
5,85,63
5,80,60
5,75,58
5,70,57
5,65,54
5,60,53
5,55,49
5,50,47
5,45,44
5,40,39
5,35,36
5,30,35
5,25,31
5,20,29
5,15,26
5,10,4
5,5,1
5,0,0
6,95,60
6,90,59
6,85,57
6,80,56
6,75,53
6,70,52
6,65,51
6,60,48
6,55,47
6,50,45
6,45,44
6,40,42
6,35,41
6,30,38
6,25,35
6,20,7
6,15,6
6,10,3
6,5,0
6,0,0
7,95,40
7,90,38
7,85,37
7,80,36
7,75,34
7,70,33
7,65,31
7,60,31
7,55,29
7,50,28
7,45,27
7,40,26
7,35,25
7,30,23
7,25,6
7,20,4
7,15,4
7,10,2
7,5,0
7,0,0
8,95,32
8,90,28
8,85,27
8,80,26
8,75,25
8,70,25
8,65,24
8,60,22
8,55,22
8,50,20
8,45,20
8,40,18
8,35,7
8,30,6
8,25,5
8,20,4
8,15,3
8,10,2
8,5,0
8,0,0
9,95,23
9,90,22
9,85,22
9,80,21
9,75,20
9,70,19
9,65,18
9,60,17
9,55,16
9,50,15
9,45,15
9,40,14
9,35,5
9,30,5
9,25,3
9,20,2
9,15,2
9,10,1
9,5,0
9,0,0
10,95,18
10,90,18
10,85,17
10,80,16
10,75,16
10,70,15
10,65,15
10,60,14
10,55,13
10,50,12
10,45,12
10,40,11
10,35,4
10,30,4
10,25,3
10,20,2
10,15,1
10,10,1
10,5,0
10,0,0
11,95,13
11,90,12
11,85,12
11,80,12
11,75,11
11,70,11
11,65,10
11,60,9
11,55,9
11,50,9
11,45,8
11,40,7
11,35,7
11,30,3
11,25,2
11,20,2
11,15,1
11,10,0
11,5,0
11,0,0
12,95,8
12,90,7
12,85,7
12,80,7
12,75,6
12,70,6
12,65,5
12,60,5
12,55,4
12,50,4
12,45,4
12,40,3
12,35,3
12,30,2
12,25,2
12,20,1
12,15,1
12,10,0
12,5,0
12,0,0
13,95,7
13,90,6
13,85,6
13,80,6
13,75,5
13,70,5
13,65,5
13,60,4
13,55,4
13,50,3
13,45,3
13,40,3
13,35,2
13,30,2
13,25,1
13,20,1
13,15,1
13,10,0
13,5,0
13,0,0
14,95,5
14,90,5
14,85,5
14,80,5
14,75,5
14,70,5
14,65,4
14,60,4
14,55,3
14,50,3
14,45,3
14,40,2
14,35,2
14,30,2
14,25,1
14,20,1
14,15,1
14,10,0
14,5,0
14,0,0
15,95,2
15,90,2
15,85,2
15,80,2
15,75,2
15,70,2
15,65,2
15,60,2
15,55,2
15,50,2
15,45,2
15,40,2
15,35,2
15,30,2
15,25,1
15,20,1
15,15,1
15,10,0
15,5,0
15,0,0
16,95,2
16,90,2
16,85,2
16,80,2
16,75,2
16,70,2
16,65,2
16,60,2
16,55,2
16,50,2
16,45,2
16,40,2
16,35,2
16,30,1
16,25,1
16,20,1
16,15,0
16,10,0
16,5,0
16,0,0
17,95,2
17,90,2
17,85,2
17,80,2
17,75,2
17,70,2
17,65,2
17,60,2
17,55,2
17,50,2
17,45,2
17,40,2
17,35,2
17,30,1
17,25,1
17,20,1
17,15,0
17,10,0
17,5,0
17,0,0
18,95,2
18,90,2
18,85,2
18,80,2
18,75,2
18,70,2
18,65,2
18,60,2
18,55,2
18,50,2
18,45,2
18,40,2
18,35,1
18,30,1
18,25,1
18,20,1
18,15,0
18,10,0
18,5,0
18,0,0
19,95,1
19,90,1
19,85,1
19,80,1
19,75,1
19,70,1
19,65,1
19,60,1
19,55,1
19,50,1
19,45,1
19,40,1
19,35,1
19,30,1
19,25,1
19,20,1
19,15,0
19,10,0
19,5,0
19,0,0
