k,b,run time
3,95,5.07624
3,90,5.169903
3,85,5.248073
3,80,4.965451
3,75,4.936332
3,70,4.956642
3,65,4.906219
3,60,4.941876
3,55,5.016606
3,50,5.191816
3,45,5.000888
3,40,4.98094
3,35,4.954507
3,30,5.118597
3,25,5.182311
3,20,5.122326
3,15,5.228652
3,10,6.071414
3,5,6.89226
3,0,1.530895
4,95,2.440123
4,90,2.314404
4,85,2.326113
4,80,2.358821
4,75,2.416843
4,70,2.374445
4,65,2.423118
4,60,2.390109
4,55,2.419878
4,50,2.433652
4,45,2.435561
4,40,2.45578
4,35,2.435487
4,30,2.546245
4,25,2.49798
4,20,2.81507
4,15,2.852222
4,10,3.044753
4,5,6.291359
4,0,1.374713
5,95,1.685686
5,90,1.722784
5,85,1.702763
5,80,1.872291
5,75,1.921424
5,70,1.826235
5,65,1.874565
5,60,1.952665
5,55,1.919954
5,50,1.952651
5,45,1.842488
5,40,1.827738
5,35,1.831684
5,30,1.864443
5,25,2.038031
5,20,1.982441
5,15,2.143348
5,10,2.544832
5,5,4.075847
5,0,1.234087
6,95,1.343447
6,90,1.327831
6,85,1.342035
6,80,1.339505
6,75,1.374713
6,70,1.373238
6,65,1.359088
6,60,1.327851
6,55,1.326942
6,50,1.421542
6,45,1.327816
6,40,1.359089
6,35,1.341903
6,30,1.359028
6,25,1.374716
6,20,1.498239
6,15,1.595424
6,10,1.84332
6,5,2.235804
6,0,1.124741
7,95,1.202847
7,90,1.205941
7,85,1.218469
7,80,1.234192
7,75,1.320547
7,70,1.234093
7,65,1.20288
7,60,1.234098
7,55,1.227808
7,50,1.218991
7,45,1.328197
7,40,1.331075
7,35,1.327849
7,30,1.234119
7,25,1.374678
7,20,1.326393
7,15,1.562329
7,10,1.405921
7,5,1.231236
7,0,1.109114
8,95,1.109112
8,90,1.096727
8,85,1.107646
8,80,1.09353
8,75,1.098228
8,70,1.124769
8,65,1.077439
8,60,1.109087
8,55,1.09346
8,50,1.109087
8,45,1.110767
8,40,1.109147
8,35,1.093492
8,30,1.093498
8,25,1.123313
8,20,1.111756
8,15,1.218471
8,10,1.249963
8,5,1.128122
8,0,1.099069
9,95,0.968493
9,90,0.999766
9,85,0.982675
9,80,0.984142
9,75,1.015387
9,70,0.984119
9,65,0.982708
9,60,0.984147
9,55,0.984144
9,50,1.093494
9,45,1.074263
9,40,1.08436
9,35,1.084203
9,30,1.09351
9,25,1.093497
9,20,1.095014
9,15,1.0925
9,10,1.109088
9,5,1.109159
9,0,1.523749
10,95,1.071833
10,90,0.968513
10,85,1.102047
10,80,0.984144
10,75,0.984146
10,70,0.984113
10,65,0.984144
10,60,0.96271
10,55,0.968524
10,50,0.984146
10,45,0.984145
10,40,1.0765
10,35,0.999765
10,30,0.976835
10,25,0.98815
10,20,0.986624
10,15,1.092138
10,10,1.155397
10,5,0.968511
10,0,0.968524
11,95,0.966766
11,90,0.984147
11,85,0.999804
11,80,0.968524
11,75,0.982702
11,70,0.968523
11,65,0.959575
11,60,0.984144
11,55,0.982687
11,50,1.007692
11,45,0.977378
11,40,0.984147
11,35,0.951832
11,30,0.967052
11,25,0.98415
11,20,0.952904
11,15,0.968787
11,10,0.983404
11,5,0.984136
11,0,0.968488
12,95,0.962095
12,90,0.984111
12,85,0.981683
12,80,1.192756
12,75,0.968525
12,70,0.984145
12,65,0.967061
12,60,0.979599
12,55,0.995586
12,50,0.968541
12,45,0.98528
12,40,0.963332
12,35,0.974996
12,30,0.984114
12,25,0.999739
12,20,0.978575
12,15,0.968492
12,10,0.984117
12,5,0.984149
12,0,0.982703
13,95,0.976426
13,90,0.972781
13,85,0.988998
13,80,0.967075
13,75,0.978042
13,70,0.985901
13,65,0.968492
13,60,0.959342
13,55,0.967082
13,50,0.999808
13,45,0.984149
13,40,0.968521
13,35,0.964467
13,30,0.968508
13,25,0.968498
13,20,0.968492
13,15,0.968496
13,10,0.96753
13,5,0.968523
13,0,0.981947
14,95,0.952863
14,90,0.982706
14,85,0.984141
14,80,0.953758
14,75,0.968517
14,70,0.984144
14,65,0.968526
14,60,0.968528
14,55,0.952905
14,50,0.984158
14,45,0.982708
14,40,0.970442
14,35,0.968525
14,30,0.96852
14,25,0.967137
14,20,0.968524
14,15,0.968524
14,10,0.989162
14,5,0.984149
14,0,0.965298
15,95,0.968565
15,90,0.975925
15,85,0.968494
15,80,0.967043
15,75,0.952904
15,70,0.984111
15,65,0.968532
15,60,0.968276
15,55,0.968524
15,50,0.984157
15,45,0.984117
15,40,0.968521
15,35,0.967064
15,30,0.959603
15,25,0.968494
15,20,0.96849
15,15,0.967069
15,10,0.968566
15,5,0.952883
15,0,0.975493
16,95,0.95287
16,90,0.967136
16,85,0.981715
16,80,0.966315
16,75,0.968528
16,70,0.982689
16,65,0.984146
16,60,0.968528
16,55,0.967239
16,50,0.968525
16,45,0.980677
16,40,0.968524
16,35,0.952902
16,30,0.95929
16,25,0.982408
16,20,0.952902
16,15,0.968524
16,10,0.967434
16,5,0.968008
16,0,0.962914
17,95,0.968522
17,90,0.968524
17,85,0.984843
17,80,0.967082
17,75,0.959353
17,70,0.964877
17,65,0.968525
17,60,0.98253
17,55,0.968525
17,50,0.98508
17,45,0.968527
17,40,0.984583
17,35,0.9827
17,30,0.968516
17,25,0.962388
17,20,0.966818
17,15,0.967081
17,10,0.968528
17,5,0.952902
17,0,0.968523
18,95,0.952902
18,90,0.983207
18,85,0.984148
18,80,0.960209
18,75,0.968792
18,70,0.96705
18,65,0.968484
18,60,0.967699
18,55,0.952872
18,50,0.968525
18,45,0.986315
18,40,0.952895
18,35,0.968526
18,30,0.967054
18,25,0.967072
18,20,0.968142
18,15,0.968501
18,10,0.968524
18,5,0.952822
18,0,0.968528
19,95,0.968525
19,90,0.98272
19,85,0.98415
19,80,0.967073
19,75,0.968525
19,70,0.968524
19,65,1.70475
19,60,0.952902
19,55,0.952906
19,50,0.968509
19,45,0.966737
19,40,0.951451
19,35,0.971676
19,30,0.984145
19,25,0.968552
19,20,0.966005
19,15,0.968494
19,10,0.968524
19,5,0.976352
19,0,0.968526
