instance_name, model_type, k, b, r, var_num, var_remaining, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, y_continuous, additonal_facet_defining, y_val_fix, fractional_callback, total_time
facebook_combined, base_model, 17, 25, NA, 8078, 0, 0, 4039.0, 4039.0, NA, NA, 0, 0, 0, False, False, False, False, 0.0519869327545166
CA-CondMat, base_model, 4, 250, NA, 46266, 0, 0, 23133.0, 23133.0, NA, NA, 0, 0, 0, False, False, False, False, 0.3643665313720703
CA-HepPh, base_model, 4, 250, NA, 24016, 0, 0, 12008.0, 12008.0, NA, NA, 0, 0, 0, False, False, False, False, 0.2140944004058838
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 58228.0, 58228.0, NA, NA, 0, 0, 0, False, False, False, False, 0.8112528324127197
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 13882.0, 13882.0, NA, NA, 0, 0, 0, False, False, False, False, 0.33933115005493164
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 13653.0, 13653.0, NA, NA, 0, 0, 0, False, False, False, False, 0.3573744297027588
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 196591.0, 196591.0, NA, NA, 0, 0, 0, False, False, False, False, 3.1773858070373535
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 317080.0, 317080.0, NA, NA, 0, 0, 0, False, False, False, False, 4.949533462524414
soc-catster.e, base_model, 21, 250, NA, 299400, 0, 0, 149700.0, 149700.0, NA, NA, 0, 0, 0, False, False, False, False, 2.88812518119812
facebook_combined, base_model, 17, 25, NA, 8078, 0, 0, 4039.0, 4039.0, NA, NA, 0, 1, 0.05412006378173828, False, False, False, False, 1.3465986251831055
CA-CondMat, base_model, 4, 250, NA, 46266, 0, 0, 23133.0, 23133.0, NA, NA, 0, 1, 0.10207939147949219, False, False, False, False, 0.36022496223449707
CA-HepPh, base_model, 4, 250, NA, 24016, 0, 0, 12008.0, 12008.0, NA, NA, 0, 1, 0.09030556678771973, False, False, False, False, 0.2506561279296875
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 58228.0, 58228.0, NA, NA, 0, 1, 0.2595689296722412, False, False, False, False, 1.0453462600708008
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 13882.0, 13882.0, NA, NA, 0, 1, 0.22752594947814941, False, False, False, False, 0.45079636573791504
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 13653.0, 13653.0, NA, NA, 0, 1, 0.30762791633605957, False, False, False, False, 0.6580994129180908
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 196591.0, 196591.0, NA, NA, 0, 1, 1.0004217624664307, False, False, False, False, 4.157036781311035
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 317080.0, 317080.0, NA, NA, 0, 1, 1.4086062908172607, False, False, False, False, 6.997590065002441
