instance_name, model_type, k, b, r, var_num, var_remaining, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, fractional_callback, total_time
facebook_combined, base_model, 17, 250, NA, 8078, 0, 0, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, False, False, False, 7.395956516265869
CA-CondMat, base_model, 4, 250, NA, 46266, 0, 0, 13939.0, 13940.0, NA, NA, 0, 0, 0, False, False, False, False, 7.561446666717529
CA-HepPh, base_model, 4, 250, NA, 24016, 0, 0, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, False, False, False, 5.431263446807861
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, False, False, False, 16.206531047821045
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 7583.0, 7618.0, NA, NA, 0, 0, 0, False, False, False, False, 3601.6831438541412
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 7642.0, 7773.0, NA, NA, 0, 0, 0, False, False, False, False, 3602.130966424942
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 107295.0, 107302.0, NA, NA, 0, 0, 0, False, False, False, False, 93.13198566436768
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 204847.0, 204863.0, NA, NA, 0, 0, 0, False, False, False, False, 125.74756813049316
soc-catster.e, base_model, 21, 250, NA, 299400, 0, 0, 79560.0, 79579.0, NA, NA, 0, 0, 0, False, False, False, False, 3623.10608625412
facebook_combined, base_model, 17, 250, NA, 8078, 0, 0, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, False, False, False, 8.840827941894531
CA-CondMat, base_model, 4, 250, NA, 46266, 0, 0, 13939.0, 13940.0, NA, NA, 0, 0, 0, False, False, False, False, 7.519411563873291
CA-HepPh, base_model, 4, 250, NA, 24016, 0, 0, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, False, False, False, 5.410407066345215
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, False, False, False, 16.05845880508423
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 7583.0, 7618.0, NA, NA, 0, 0, 0, False, False, False, False, 3601.808836221695
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 7642.0, 7773.0, NA, NA, 0, 0, 0, False, False, False, False, 3602.144586086273
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 107295.0, 107302.0, NA, NA, 0, 0, 0, False, False, False, False, 91.74542737007141
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 204847.0, 204863.0, NA, NA, 0, 0, 0, False, False, False, False, 125.89715576171875
soc-catster.e, base_model, 21, 250, NA, 299400, 0, 0, 79560.0, 79579.0, NA, NA, 0, 0, 0, False, False, False, False, 3622.728127717972
facebook_combined, base_model, 17, 250, NA, 8078, 0, 0, 2533.0, 2533.0, 2307, 0.015491247177124023, 0, 0, 0, False, False, False, False, 8.777503252029419
CA-CondMat, base_model, 4, 250, NA, 46266, 0, 0, 13939.0, 13940.0, 2804, 0.0445096492767334, 0, 0, 0, False, False, False, False, 7.5245680809021
CA-HepPh, base_model, 4, 250, NA, 24016, 0, 0, 6978.0, 6978.0, 1282, 0.022582054138183594, 0, 0, 0, False, False, False, False, 5.4849138259887695
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 35267.0, 35267.0, 362, 0.0782780647277832, 0, 0, 0, False, False, False, False, 16.065657377243042
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 7583.0, 7618.0, 8719, 0.0758829116821289, 0, 0, 0, False, False, False, False, 3602.0597956180573
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 7642.0, 7773.0, 13753, 0.0926516056060791, 0, 0, 0, False, False, False, False, 3602.232070684433
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 107295.0, 107302.0, 5884, 0.33464980125427246, 0, 0, 0, False, False, False, False, 91.92112898826599
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 204847.0, 204863.0, 12906, 0.46230649948120117, 0, 0, 0, False, False, False, False, 124.73471689224243
