instance_name, model_type, n, m, k, b, r, LP, BBnodes, var_num, var_remaining, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
web-Google, base_model, 875713, 4322051, 4, 250, NA, NA, 0.0, 1751426, 0, 0, 662086.98, 662086.98, NA, NA, 0, 0, 0, False, False, False, True, False, 149.34
soc-catster.e, base_model, 149684, 5448197, 21, 250, NA, NA, 0.0, 299368, 0, 0, 111681.46, 111681.46, NA, NA, 0, 0, 0, False, False, False, True, False, 134.32
soc-dogster.e, base_model, 426816, 8543549, 12, 250, NA, NA, 0.0, 853632, 0, 0, 309422.55, 309422.55, NA, NA, 0, 0, 0, False, False, False, True, False, 698.7
facebook_combined, base_model, 4039, 88234, 17, 250, NA, NA, 1.0, 8078, 0, 0, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, False, False, False, False, 31.95
CA-CondMat, base_model, 23133, 93439, 4, 250, NA, NA, 1.0, 46266, 0, 0, 13939.0, 13939.0, NA, NA, 0, 0, 0, False, False, False, False, False, 8.64
CA-HepPh, base_model, 12006, 118489, 4, 250, NA, NA, 1.0, 24012, 0, 0, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, False, False, False, False, 5.98
Brightkite_edges, base_model, 58228, 214078, 2, 250, NA, NA, 1.0, 116456, 0, 0, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, False, False, False, False, 18.22
socfb-Northeastern19, base_model, 13882, 381934, 33, 250, NA, NA, 7846.0, 27764, 0, 0, 7583.0, 7619.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3601.94
socfb-Syracuse56, base_model, 13653, 543982, 46, 250, NA, NA, 1333.0, 27306, 0, 0, 7642.0, 7773.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3602.43
ca-citeseer, base_model, 227320, 814134, 3, 250, NA, NA, 1.0, 454640, 0, 0, 153765.0, 153765.0, NA, NA, 0, 0, 0, False, False, False, False, False, 134.03
Gowalla_edges, base_model, 196591, 950327, 3, 250, NA, NA, 1.0, 393182, 0, 0, 107299.0, 107299.0, NA, NA, 0, 0, 0, False, False, False, False, False, 100.12
com-dblp.ungraph, base_model, 317080, 1049866, 3, 250, NA, NA, 1.0, 634160, 0, 0, 204857.0, 204857.0, NA, NA, 0, 0, 0, False, False, False, False, False, 197.01
