instance, n, m, average_degree, max_degree, max_k_core, median_k_core, k, k_core, total_time
facebook_combined.txt, 4039, 88234, 25, 1045, 115, 17, 17, 2061, 
CA-HepPh.txt, 12006, 118489, 5.0, 491, 238, 4.0, 4, 6591, 
socfb-Syracuse56.mtx, 13653, 543982, 62, 1340, 75, 46, 46, 6985, 
socfb-Northeastern19.mtx, 13882, 381934, 42.0, 968, 43, 33.0, 33, 7008, 
CA-CondMat.txt, 23133, 93439, 5, 279, 25, 4, 4, 13464, 
Brightkite_edges.txt, 58228, 214078, 2.0, 1134, 52, 2.0, 2, 34706, 
flickrEdges.txt, 105938, 2316948, 7.0, 5425, 573, 5.0, 20, 105291, 
soc-catster.edges, 149684, 5448197, 22.0, 80634, 419, 21.0, 21, 78945, 
Gowalla_edges.txt, 196591, 950327, 3, 14730, 51, 3, 3, 106417, 
ca-citeseer.mtx, 227320, 814134, 4.0, 1372, 86, 3.0, 3, 152966, 
com-dblp.ungraph.txt, 317080, 1049866, 4.0, 343, 113, 3.0, 3, 204031, 
soc-dogster.edges, 426816, 8543549, 12.0, 46503, 248, 12.0, 12, 214490, 
soc-twitter-higgs.edges, 456631, 12508442, 18, 51386, 125, 17, 17, 231419, 
web-Google.txt, 875713, 4322051, 5, 6332, 44, 4, 4, 492655, 
com-youtube.ungraph.txt, 1134890, 2987624, 1.0, 28754, 51, 1.0, 20, 1134890, 
web-hudong.edges, 1974655, 14428382, 5, 61440, 266, 5, 5, 1055322, 
web-baidu-baike.edges, 2140198, 17014946, 4.0, 97848, 78, 3.0, 3, 1277646, 
