instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 1.0, 2479, 2061, 2533.0, 2533.0, NA, NA, 0, 0, 0, True, False, False, False, False, 1.69
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 1.0, 6049, 6591, 6978.0, 6978.0, NA, NA, 0, 0, 0, True, False, False, False, False, 2.78
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 9776.0, 8085, 6985, 7650.0, 7732.0, NA, NA, 0, 0, 0, True, False, False, False, False, 3640.69
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 36423.0, 8120, 7008, 7589.0, 7620.0, NA, NA, 0, 0, 0, True, False, False, False, False, 3627.23
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 1.0, 10848, 13464, 13939.0, 13939.0, NA, NA, 0, 0, 0, True, False, False, False, False, 5.49
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 39.0, 25887, 34706, 35267.0, 35267.0, NA, NA, 0, 0, 0, True, False, False, False, False, 14.91
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 1.0, 72742, 78945, 79561.0, 79561.0, NA, NA, 0, 0, 0, True, False, False, False, False, 2156.6
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 1.0, 100437, 106417, 107299.0, 107299.0, NA, NA, 0, 0, 0, True, False, False, False, False, 250.06
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 2756.0, 82847, 152966, 153765.0, 153765.0, NA, NA, 0, 0, 0, True, False, False, False, False, 222.47
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 2754.0, 124059, 204031, 204857.0, 204857.0, NA, NA, 0, 0, 0, True, False, False, False, False, 368.3
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 44.0, 221076, 214490, 215343.0, 215343.0, NA, NA, 0, 0, 0, True, False, False, False, False, 1202.01
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 3683.0, 234446, 231419, 232329.0, 232329.0, NA, NA, 0, 0, 0, True, False, False, False, False, 2812.97
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 2567.0, 429949, 492655, 494579.0, 494579.0, NA, NA, 0, 0, 0, True, False, False, False, False, 10629.94
web-hudong.e, reduced_model, 1974655, 14428382, 5, 250, NA, 2405.0, 959493, 1055322, 1056519.0, 1056519.0, NA, NA, 0, 0, 0, True, False, False, False, False, 7711.1
web-baidu-baike.e, reduced_model, 2140198, 17014946, 3, 250, NA, 1.0, 895053, 1277646, 1278551.0, 1278551.0, NA, NA, 0, 0, 0, True, False, False, False, False, 4914.98
facebook_combined, reduced_model, 4039, 88234, 20, 20, NA, 82129.0, 2672, 1854, 1967.0, 1967.0, NA, NA, 0, 0, 0, True, False, False, False, False, 333.78
Brightkite_edges, reduced_model, 58228, 214078, 20, 20, NA, 3643.0, 60920, 947, 1178.0, 1455.0, NA, NA, 0, 0, 0, True, False, False, False, False, 6779.79
