instance, k, b, rcm, rcmtime, total_time
facebook_combined.txt, 17, 250, 411, 0.21, 
CA-HepPh.txt, 4, 250, 375, 0.66, 
socfb-Syracuse56.mtx, 46, 250, 21, 16.92, 
socfb-Northeastern19.mtx, 33, 250, 44, 12.28, 
CA-CondMat.txt, 4, 250, 447, 1.96, 
Brightkite_edges.txt, 2, 250, 560, 5.82, 
flickrEdges.txt, 5, 250, 5, 20.53, 
soc-catster.edges, 21, 250, 450, 1071.3, 
Gowalla_edges.txt, 3, 250, 843, 114.44, 
ca-citeseer.mtx, 3, 250, 711, 97.49, 
com-dblp.ungraph.txt, 3, 250, 744, 169.02, 
soc-dogster.edges, 12, 250, 707, 551.24, 
soc-twitter-higgs.edges, 17, 250, 606, 1249.98, 
web-Google.txt, 4, 250, 1389, 5015.32, 
web-hudong.edges, 5, 250, 1008, 3827.08, 
web-baidu-baike.edges, 3, 250, 880, 2327.67, 
facebook_combined.txt, 20, 20, 48, 1.81, 
Brightkite_edges.txt, 20, 20, 10, 1601.9, 
