instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, num_additonal_constraints, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 1.0, 2479, 2061, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 0.83
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 1.0, 6049, 6591, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 0.91
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 8783.0, 8085, 6985, 7643.0, 7731.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 3604.39
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 29555.0, 8120, 7008, 7584.0, 7616.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 3602.97
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 1.0, 10848, 13464, 13939.0, 13939.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 1.37
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 1.0, 25887, 34706, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 2.62
flickrEdges, reduced_model, 105938, 2316948, 4, 250, NA, 0.0, 554, 105386, 105388.0, 105388.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 33.34
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 1.0, 72742, 78945, 79561.0, 79561.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 1082.93
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 1.0, 100437, 106417, 107299.0, 107299.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 19.72
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 1.0, 82847, 152966, 153765.0, 153765.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 18.95
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 1.0, 124059, 204031, 204857.0, 204857.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 20.46
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 1.0, 221076, 214490, 215343.0, 215343.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 484.6
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 2973.0, 234446, 231419, 232329.0, 232329.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 1263.17
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 1943.0, 429949, 492655, 494579.0, 494579.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 276.71
web-hudong.e, reduced_model, 1974655, 14428382, 5, 250, NA, 1.0, 959493, 1055322, 1056519.0, 1056519.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 794.03
web-baidu-baike.e, reduced_model, 2140198, 17014946, 3, 250, NA, 1.0, 895053, 1277646, 1278551.0, 1278551.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 1027.75
facebook_combined, reduced_model, 4039, 88234, 20, 20, NA, 90870.0, 2672, 1854, 1967.0, 1967.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 405.15
Brightkite_edges, reduced_model, 58228, 214078, 20, 20, NA, 3043.0, 60920, 947, 1180.0, 1426.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 3601.59
flickrEdges, reduced_model, 105938, 2316948, 20, 20, NA, 61.0, 95668, 15808, 15833.0, 15835.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 3630.65
Gowalla_edges, reduced_model, 196591, 950327, 20, 20, NA, 612.0, 200539, 8161, 8450.0, 8782.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 3610.91
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 20, NA, 1.0, 329837, 3066, 3119.0, 3308.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 3609.84
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 20, NA, 27.0, 1138333, 18890, 19088.0, 19340.0, NA, NA, 0, 0, 0, False, True, False, 0, False, False, 3645.82
