instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, num_prop_10_fixings, prop_10, prop_10_comp_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 0.0, 2479, 2061, 2551.96, 2551.96, NA, NA, 0, 0, 0, False, 0, True, 0.07, False, False, False, True, False, 0.51
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 0.0, 6049, 6591, 7114.5, 7114.5, NA, NA, 0, 0, 0, False, 748, True, 0.12, False, False, False, True, False, 0.86
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 0.0, 8085, 6985, 8317.44, 8317.44, NA, NA, 0, 0, 0, False, 205, True, 0.58, False, False, False, True, False, 5.07
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 0.0, 8120, 7008, 8187.01, 8187.01, NA, NA, 0, 0, 0, False, 239, True, 0.43, False, False, False, True, False, 3.57
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 0.0, 10848, 13464, 14343.84, 14343.84, NA, NA, 0, 0, 0, False, 1605, True, 0.12, False, False, False, True, False, 1.21
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 0.0, 25887, 34706, 36099.5, 36099.5, NA, NA, 0, 0, 0, False, 830, True, 0.3, False, False, False, True, False, 2.71
flickrEdges, reduced_model, 105938, 2316948, 4, 250, NA, 0.0, 554, 105386, 105388.0, 105388.0, NA, NA, 0, 0, 0, False, 178, True, 3.38, False, False, False, True, False, 37.64
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 0.0, 72742, 78945, 80801.72, 80801.72, NA, NA, 0, 0, 0, False, 3282, True, 6.09, False, False, False, True, False, 1143.38
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 0.0, 100437, 106417, 113017.29, 113017.29, NA, NA, 0, 0, 0, False, 3991, True, 1.37, False, False, False, True, False, 16.71
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 0.0, 82847, 152966, 157856.31, 157856.31, NA, NA, 0, 0, 0, False, 1570, True, 1.3, False, False, False, True, False, 12.73
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 0.0, 124059, 204031, 210415.12, 210415.12, NA, NA, 0, 0, 0, False, 1920, True, 1.71, False, False, False, True, False, 15.9
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 0.0, 221076, 214490, 222144.93, 222144.93, NA, NA, 0, 0, 0, False, 7245, True, 10.99, False, False, False, True, False, 488.39
