instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, num_prop_9_inequalties_added, prop_9_comp_time, prop_10, warm_start, prop_8, y_val_fix, relax, fractional_callback, total_time
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 2269.0, 234446, 231419, 232329.0, 232329.0, NA, NA, 0, 0, 0, True, 101693, 14.48, False, False, False, False, False, False, 1393.17
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 1721.0, 429949, 492655, 494579.0, 494579.0, NA, NA, 0, 0, 0, True, 512588, 37.76, False, False, False, False, False, False, 1017.51
web-hudong.e, reduced_model, 1974655, 14428382, 5, 250, NA, 1.0, 959493, 1055322, 1056519.0, 1056519.0, NA, NA, 0, 0, 0, True, 108707, 31.18, False, False, False, False, False, False, 851.27
web-baidu-baike.e, reduced_model, 2140198, 17014946, 3, 250, NA, 1.0, 895053, 1277646, 1278551.0, 1278551.0, NA, NA, 0, 0, 0, True, 40722, 9.0, False, False, False, False, False, False, 1056.43
facebook_combined, reduced_model, 4039, 88234, 20, 20, NA, 98168.0, 2672, 1854, 1967.0, 1967.0, NA, NA, 0, 0, 0, True, 3662, 1.28, False, False, False, False, False, False, 565.33
Brightkite_edges, reduced_model, 58228, 214078, 20, 20, NA, 1144.0, 60920, 947, 1180.0, 1448.0, NA, NA, 0, 0, 0, True, 325652, 87.07, False, False, False, False, False, False, 3688.63
flickrEdges, reduced_model, 105938, 2316948, 20, 20, NA, 1.0, 95668, 15808, 15833.0, 15833.0, NA, NA, 0, 0, 0, True, 413293, 2717.32, False, False, False, False, False, False, 5337.74
Gowalla_edges, reduced_model, 196591, 950327, 20, 20, NA, 30.0, 200539, 8161, 8427.0, 8773.0, NA, NA, 0, 0, 0, True, 559498, 132.68, False, False, False, False, False, False, 3741.77
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 20, NA, 1.0, 329837, 3066, 3070.0, 18889.0, NA, NA, 0, 0, 0, True, 1332530, 469.37, False, False, False, False, False, False, 4086.4
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 20, NA, 1.0, 1138333, 18890, 18912.0, 24721.0, NA, NA, 0, 0, 0, True, 12136498, 861.1, False, False, False, False, False, False, 4515.74
