<<<<<<< HEAD
instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, prop_10, warm_start, prop_8, num_prop_8_inequalties_added, prop_8_comp_time, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 1.0, 2479, 2061, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, False, False, True, 683, 0.01, False, False, False, 0.76
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 1.0, 6049, 6591, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, False, False, True, 748, 0.02, False, False, False, 0.85
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 8617.0, 8085, 6985, 7644.0, 7729.0, NA, NA, 0, 0, 0, False, False, False, True, 1396, 0.02, False, False, False, 3604.29
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 36452.0, 8120, 7008, 7585.0, 7617.0, NA, NA, 0, 0, 0, False, False, False, True, 1136, 0.02, False, False, False, 3602.86
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 1.0, 10848, 13464, 13939.0, 13939.0, NA, NA, 0, 0, 0, False, False, False, True, 1400, 0.03, False, False, False, 1.3
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 1.0, 25887, 34706, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, False, False, True, 2360, 0.07, False, False, False, 2.5
flickrEdges, reduced_model, 105938, 2316948, 4, 250, NA, 0.0, 554, 105386, 105388.0, 105388.0, NA, NA, 0, 0, 0, False, False, False, True, 3, 0.12, False, False, False, 33.4
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 1.0, 72742, 78945, 79561.0, 79561.0, NA, NA, 0, 0, 0, False, False, False, True, 1894, 0.16, False, False, False, 1098.11
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 1.0, 100437, 106417, 107299.0, 107299.0, NA, NA, 0, 0, 0, False, False, False, True, 11230, 0.28, False, False, False, 19.16
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 1.0, 82847, 152966, 153765.0, 153765.0, NA, NA, 0, 0, 0, False, False, False, True, 8966, 0.36, False, False, False, 17.85
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 1.0, 124059, 204031, 204857.0, 204857.0, NA, NA, 0, 0, 0, False, False, False, True, 11353, 0.47, False, False, False, 19.91
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 1.0, 221076, 214490, 215343.0, 215343.0, NA, NA, 0, 0, 0, False, False, False, True, 9207, 0.49, False, False, False, 489.79
=======
instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, num_prop_9_inequalties_added, prop_9_comp_time, prop_10, warm_start, prop_8, y_val_fix, relax, fractional_callback, total_time
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 20, NA, 1.0, 329837, 3066, 3070.0, 18889.0, NA, NA, 0, 0, 0, True, 1332530, 1002.71, False, False, False, False, False, False, 4628.72
>>>>>>> ed01a9e79e5b61fc4918507c09c16375d28edd5c
