instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, prop_10, warm_start, prop_8, num_prop_8_inequalties_added, prop_8_comp_time, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 0.0, 2479, 2061, 2549.43, 2549.43, NA, NA, 0, 0, 0, False, False, False, True, 683, 0.02, False, True, False, 0.9
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 0.0, 6049, 6591, 7065.88, 7065.88, NA, NA, 0, 0, 0, False, False, False, True, 748, 0.04, False, True, False, 1.47
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 0.0, 8085, 6985, 8264.02, 8264.02, NA, NA, 0, 0, 0, False, False, False, True, 1396, 0.05, False, True, False, 7.78
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 0.0, 8120, 7008, 8125.08, 8125.08, NA, NA, 0, 0, 0, False, False, False, True, 1136, 0.05, False, True, False, 5.67
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 0.0, 10848, 13464, 14141.32, 14141.32, NA, NA, 0, 0, 0, False, False, False, True, 1400, 0.07, False, True, False, 1.86
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 0.0, 25887, 34706, 35400.5, 35400.5, NA, NA, 0, 0, 0, False, False, False, True, 2360, 0.15, False, True, False, 4.3
flickrEdges, reduced_model, 105938, 2316948, 4, 250, NA, 0.0, 554, 105386, 105388.0, 105388.0, NA, NA, 0, 0, 0, False, False, False, True, 3, 0.23, False, True, False, 49.81
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 0.0, 72742, 78945, 80287.7, 80287.7, NA, NA, 0, 0, 0, False, False, False, True, 1894, 0.28, False, True, False, 1439.63
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 0.0, 100437, 106417, 108957.15, 108957.15, NA, NA, 0, 0, 0, False, False, False, True, 11230, 0.59, False, True, False, 24.22
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 0.0, 82847, 152966, 155390.27, 155390.27, NA, NA, 0, 0, 0, False, False, False, True, 8966, 0.68, False, True, False, 18.02
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 0.0, 124059, 204031, 206937.42, 206937.42, NA, NA, 0, 0, 0, False, False, False, True, 11353, 0.89, False, True, False, 22.76
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 0.0, 221076, 214490, 218699.11, 218699.11, NA, NA, 0, 0, 0, False, False, False, True, 9207, 0.87, False, True, False, 586.52
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 0.0, 234446, 231419, 236349.85, 236349.85, NA, NA, 0, 0, 0, False, False, False, True, 9664, 0.97, False, True, False, 1379.21
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 0.0, 429949, 492655, 508224.64, 508224.64, NA, NA, 0, 0, 0, False, False, False, True, 45995, 2.57, False, True, False, 120.27
web-hudong.e, reduced_model, 1974655, 14428382, 5, 250, NA, 0.0, 959493, 1055322, 1064290.07, 1064290.07, NA, NA, 0, 0, 0, False, False, False, True, 42459, 6.74, False, True, False, 983.81
web-baidu-baike.e, reduced_model, 2140198, 17014946, 3, 250, NA, 0.0, 895053, 1277646, 1281799.13, 1281799.13, NA, NA, 0, 0, 0, False, False, False, True, 34924, 24.04, False, True, False, 1753.69
facebook_combined, reduced_model, 4039, 88234, 20, 20, NA, 0.0, 2672, 1854, 2228.08, 2228.08, NA, NA, 0, 0, 0, False, False, False, True, 745, 0.03, False, True, False, 44.74
Brightkite_edges, reduced_model, 58228, 214078, 20, 20, NA, 0.0, 60920, 947, 3368.78, 3368.78, NA, NA, 0, 0, 0, False, False, False, True, 4630, 0.14, False, True, False, 10.22
flickrEdges, reduced_model, 105938, 2316948, 20, 20, NA, 0.0, 95668, 15808, 16237.78, 16237.78, NA, NA, 0, 0, 0, False, False, False, True, 8529, 0.29, False, True, False, 62.24
Gowalla_edges, reduced_model, 196591, 950327, 20, 20, NA, 0.0, 200539, 8161, 15663.16, 15663.16, NA, NA, 0, 0, 0, False, False, False, True, 16694, 0.5, False, True, False, 47.64
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 20, NA, 0.0, 329837, 3066, 6970.54, 6970.54, NA, NA, 0, 0, 0, False, False, False, True, 26347, 0.74, False, True, False, 426.91
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 20, NA, 0.0, 1138333, 18890, 31579.82, 31579.82, NA, NA, 0, 0, 0, False, False, False, True, 25026, 0.83, False, True, False, 171.73
