instance_name, model_type, n, m, k, b, r, BBnodes, var_num, warm_start, num_k_core_nodes, lower_bound, upper_bound, prop_8, prop_9, prop_10, prop_11_reduction, prop_11_iterations, prop_11_run_time, relax, fractional_callback, total_time
facebook_combined, base_model, 4039, 88234, 20, 20, NA, 6714.0, 8078, False, 0, 1965.0, 1995.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3675.07
Brightkite_edges, base_model, 58228, 214078, 20, 20, NA, 749.0, 116456, False, 0, 1134.0, 1471.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3714.45
flickrEdges, base_model, 105938, 2316948, 20, 20, NA, 1.0, 211876, False, 0, 15833.0, 15834.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3616.96
Gowalla_edges, base_model, 196591, 950327, 20, 20, NA, 15.0, 393182, False, 0, 8392.0, 8792.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3655.72
com-dblp.ungraph, base_model, 317080, 1049866, 20, 20, NA, 1.0, 634160, False, 0, 3110.0, 3669.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3616.13
com-youtube.ungraph, base_model, 1134890, 2987624, 20, 20, NA, 1.0, 2269780, False, 0, 19071.0, 22139.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3654.67
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 1.0, 2479, False, 2061, 2533.0, 2533.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 15.41
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 1.0, 2479, False, 2061, 2533.0, 2533.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 13.56
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 1.0, 6049, False, 6591, 6978.0, 6978.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3.74
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 641.0, 8085, False, 6985, 7582.0, 7775.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3693.38
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 1112.0, 8120, False, 7008, 7577.0, 7643.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3723.35
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 1.0, 10848, False, 13464, 13939.0, 13939.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 15.03
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 1061.0, 25887, False, 34706, 35267.0, 35267.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 1004.66
flickrEdges, reduced_model, 105938, 2316948, 4, 250, NA, 1.0, 554, False, 105386, 105388.0, 105388.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 33.15
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 1.0, 72742, False, 78945, 79561.0, 79561.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 1793.41
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 1.0, 100437, False, 106417, 107299.0, 107299.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 77.72
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 336.0, 82847, False, 152966, 153765.0, 153765.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 2827.63
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 1.0, 124059, False, 204031, 204857.0, 204857.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 498.39
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 31.0, 221076, False, 214490, 215343.0, 215351.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 4632.59
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 1.0, 234446, False, 231419, 232319.0, 232354.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 4900.88
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 31.0, 429949, False, 492655, 494574.0, 494622.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 4116.63
web-hudong.e, reduced_model, 1974655, 14428382, 5, 250, NA, 1.0, 959493, False, 1055322, 1056514.0, 1056535.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 4458.43
web-baidu-baike.e, reduced_model, 2140198, 17014946, 3, 250, NA, 1.0, 895053, False, 1277646, 1278551.0, 1278551.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3656.38
facebook_combined, reduced_model, 4039, 88234, 20, 20, NA, 6989.0, 2672, False, 1854, 1965.0, 1996.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3668.66
Brightkite_edges, reduced_model, 58228, 214078, 20, 20, NA, 784.0, 60920, False, 947, 1170.0, 1443.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3713.92
flickrEdges, reduced_model, 105938, 2316948, 20, 20, NA, 24.0, 95668, False, 15808, 15833.0, 15838.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3631.31
Gowalla_edges, reduced_model, 196591, 950327, 20, 20, NA, 61.0, 200539, False, 8161, 8419.0, 8760.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3970.44
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 20, NA, 1.0, 329837, False, 3066, 3121.0, 3544.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3610.25
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 20, NA, 1.0, 1138333, False, 18890, 19087.0, 19943.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3647.28
