dataset, k, b, number of anchors, number of followers, run time
facebook_combined.txt,17,250,250,412,1.5625624656677246
CA-CondMat.txt,4,250,250,447,2.0924160480499268
CA-HepPh.txt,4,250,250,375,1.5675628185272217
Brightkite_edges.txt,2,250,250,560,3.9568960666656494
socfb-Northeastern19.mtx,33,250,115,44,17.389148235321045
socfb-Syracuse56.mtx,46,250,51,21,23.856343746185303
Gowalla_edges.txt,3,250,250,841,39.50997591018677
com-dblp.ungraph.txt,3,250,250,745,50.1070191860199
web-Google.txt,4,250,250,1389,1016.2244536876678
soc-catster.edges,21,250,250,450,431.34329533576965
soc-dogster.edges,12,250,250,709,242.55809712409973
soc-twitter-higgs.edges,17,250,250,606,515.6120491027832
web-hudong.edges,5,250,250,1008,1072.7083775997162
web-baidu-baike.edges,3,250,250,880,953.9408731460571
