instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, prop_10, warm_start, prop_8, num_prop_8_inequalties_added, prop_8_comp_time, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model,4039,88234,17,250, NA,1,2479,2061,2533,2533, NA, NA,0,0,0, False, False, False, True,683,0.01, False, False, False,0.76
CA-HepPh, reduced_model,12006,118489,4,250, NA,1,6049,6591,6978,6978, NA, NA,0,0,0, False, False, False, True,748,0.02, False, False, False,0.85
socfb-Syracuse56, reduced_model,13653,543982,46,250, NA,8617,8085,6985,7644,7729, NA, NA,0,0,0, False, False, False, True,1396,0.02, False, False, False,3604.29
socfb-Northeastern19, reduced_model,13882,381934,33,250, NA,36452,8120,7008,7585,7617, NA, NA,0,0,0, False, False, False, True,1136,0.02, False, False, False,3602.86
CA-CondMat, reduced_model,23133,93439,4,250, NA,1,10848,13464,13939,13939, NA, NA,0,0,0, False, False, False, True,1400,0.03, False, False, False,1.3
Brightkite_edges, reduced_model,58228,214078,2,250, NA,1,25887,34706,35267,35267, NA, NA,0,0,0, False, False, False, True,2360,0.07, False, False, False,2.5
flickrEdges, reduced_model,105938,2316948,4,250, NA,0,554,105386,105388,105388, NA, NA,0,0,0, False, False, False, True,3,0.12, False, False, False,33.4
soc-catster.e, reduced_model,149684,5448197,21,250, NA,1,72742,78945,79561,79561, NA, NA,0,0,0, False, False, False, True,1894,0.16, False, False, False,1098.11
Gowalla_edges, reduced_model,196591,950327,3,250, NA,1,100437,106417,107299,107299, NA, NA,0,0,0, False, False, False, True,11230,0.28, False, False, False,19.16
ca-citeseer, reduced_model,227320,814134,3,250, NA,1,82847,152966,153765,153765, NA, NA,0,0,0, False, False, False, True,8966,0.36, False, False, False,17.85
com-dblp.ungraph, reduced_model,317080,1049866,3,250, NA,1,124059,204031,204857,204857, NA, NA,0,0,0, False, False, False, True,11353,0.47, False, False, False,19.91
soc-dogster.e, reduced_model,426816,8543549,12,250, NA,1,221076,214490,215343,215343, NA, NA,0,0,0, False, False, False, True,9207,0.49, False, False, False,489.79
soc-twitter-higgs.e, reduced_model,456631,12508442,17,250, NA,2604,234446,231419,232329,232329, NA, NA,0,0,0, False, False, False, True,9664,0.51, False, False, False,1200.01
web-Google, reduced_model,875713,4322051,4,250, NA,2020,429949,492655,494579,494579, NA, NA,0,0,0, False, False, False, True,45995,1.3, False, False, False,310.03
web-hudong.e, reduced_model,1974655,14428382,5,250, NA,1,959493,1055322,1056519,1056519, NA, NA,0,0,0, False, False, False, True,42459,2.44, False, False, False,762.41
web-baidu-baike.e, reduced_model,2140198,17014946,3,250, NA,1,895053,1277646,1278551,1278551, NA, NA,0,0,0, False, False, False, True,34924,2.58, False, False, False,990.61
facebook_combined, reduced_model,4039,88234,20,20, NA,55105,2672,1854,1967,1967, NA, NA,0,0,0, False, False, False, True,745,0.01, False, False, False,273.13
Brightkite_edges, reduced_model,58228,214078,20,20, NA,4055,60920,947,1180,1465, NA, NA,0,0,0, False, False, False, True,4630,0.05, False, False, False,3601.59
flickrEdges, reduced_model,105938,2316948,20,20, NA,54,95668,15808,15833,15835, NA, NA,0,0,0, False, False, False, True,8529,0.11, False, False, False,3631.24
Gowalla_edges, reduced_model,196591,950327,20,20, NA,1327,200539,8161,8445,8779, NA, NA,0,0,0, False, False, False, True,16694,0.18, False, False, False,3611.74
com-dblp.ungraph, reduced_model,317080,1049866,20,20, NA,1,329837,3066,3121,3310, NA, NA,0,0,0, False, False, False, True,26347,0.28, False, False, False,3609.89
com-youtube.ungraph, reduced_model,1134890,2987624,20,20, NA,15,1138333,18890,19090,19343, NA, NA,0,0,0, False, False, False, True,25026,0.4, False, False, False,3645.1
