instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, num_prop_9_inequalties_added, prop_9_comp_time, prop_10, warm_start, prop_8, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 0.0, 2479, 2061, 2551.96, 2551.96, NA, NA, 0, 0, 0, True, 3049, 0.85, False, False, False, False, True, False, 1.39
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 0.0, 6049, 6591, 7114.5, 7114.5, NA, NA, 0, 0, 0, True, 2062, 0.12, False, False, False, False, True, False, 0.86
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 0.0, 8085, 6985, 8317.44, 8317.44, NA, NA, 0, 0, 0, True, 8188, 26.05, False, False, False, False, True, False, 30.81
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 0.0, 8120, 7008, 8187.01, 8187.01, NA, NA, 0, 0, 0, True, 7184, 6.11, False, False, False, False, True, False, 9.34
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 0.0, 10848, 13464, 14343.73, 14343.73, NA, NA, 0, 0, 0, True, 4339, 0.24, False, False, False, False, True, False, 1.3
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 0.0, 25887, 34706, 36099.5, 36099.5, NA, NA, 0, 0, 0, True, 1587, 0.2, False, False, False, False, True, False, 2.65
flickrEdges, reduced_model, 105938, 2316948, 4, 250, NA, 0.0, 554, 105386, 105388.0, 105388.0, NA, NA, 0, 0, 0, True, 4, 0.01, False, False, False, False, True, False, 35.14
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 0.0, 72742, 78945, 80801.72, 80801.72, NA, NA, 0, 0, 0, True, 18587, 2.36, False, False, False, False, True, False, 1126.12
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 0.0, 100437, 106417, 113014.9, 113014.9, NA, NA, 0, 0, 0, True, 16892, 1.14, False, False, False, False, True, False, 16.28
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 0.0, 82847, 152966, 157856.05, 157856.05, NA, NA, 0, 0, 0, True, 22010, 1.3, False, False, False, False, True, False, 12.68
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 0.0, 124059, 204031, 210412.36, 210412.36, NA, NA, 0, 0, 0, True, 25785, 1.69, False, False, False, False, True, False, 15.53
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 0.0, 221076, 214490, 222144.91, 222144.91, NA, NA, 0, 0, 0, True, 56461, 4.9, False, False, False, False, True, False, 507.26
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 0.0, 234446, 231419, 239766.5, 239766.5, NA, NA, 0, 0, 0, True, 101693, 10.36, False, False, False, False, True, False, 1229.94
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 0.0, 429949, 492655, 519085.75, 519085.75, NA, NA, 0, 0, 0, True, 512588, 33.27, False, False, False, False, True, False, 116.59
web-hudong.e, reduced_model, 1974655, 14428382, 5, 250, NA, 0.0, 959493, 1055322, 1086242.44, 1086242.44, NA, NA, 0, 0, 0, True, 108707, 31.19, False, False, False, False, True, False, 828.72
web-baidu-baike.e, reduced_model, 2140198, 17014946, 3, 250, NA, 0.0, 895053, 1277646, 1297871.65, 1297871.65, NA, NA, 0, 0, 0, True, 40722, 9.05, False, False, False, False, True, False, 1034.41
facebook_combined, reduced_model, 4039, 88234, 20, 20, NA, 0.0, 2672, 1854, 2275.17, 2275.17, NA, NA, 0, 0, 0, True, 3662, 1.29, False, False, False, False, True, False, 7.52
Brightkite_edges, reduced_model, 58228, 214078, 20, 20, NA, 0.0, 60920, 947, 3524.91, 3524.91, NA, NA, 0, 0, 0, True, 325652, 85.8, False, False, False, False, True, False, 129.45
flickrEdges, reduced_model, 105938, 2316948, 20, 20, NA, 0.0, 95668, 15808, 16305.32, 16305.32, NA, NA, 0, 0, 0, True, 413293, 2728.0, False, False, False, False, True, False, 2787.75
Gowalla_edges, reduced_model, 196591, 950327, 20, 20, NA, 0.0, 200539, 8161, 16391.29, 16391.29, NA, NA, 0, 0, 0, True, 559498, 133.5, False, False, False, False, True, False, 437.83
