instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 20, 1, NA, 1.0, 2672, 1854, 1862.0, 1862.0, NA, NA, 0, 0, 0, False, False, False, False, False, 0.44
facebook_combined, reduced_model, 4039, 88234, 20, 5, NA, 3514.0, 2672, 1854, 1903.0, 1903.0, NA, NA, 0, 0, 0, False, False, False, False, False, 7.73
facebook_combined, reduced_model, 4039, 88234, 20, 10, NA, 10320.0, 2672, 1854, 1926.0, 1926.0, NA, NA, 0, 0, 0, False, False, False, False, False, 30.13
facebook_combined, reduced_model, 4039, 88234, 20, 15, NA, 28750.0, 2672, 1854, 1946.0, 1946.0, NA, NA, 0, 0, 0, False, False, False, False, False, 83.31
Brightkite_edges, reduced_model, 58228, 214078, 20, 1, NA, 1.0, 60920, 947, 973.0, 973.0, NA, NA, 0, 0, 0, False, False, False, False, False, 7.14
Brightkite_edges, reduced_model, 58228, 214078, 20, 5, NA, 19304.0, 60920, 947, 1028.0, 1153.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3601.56
Brightkite_edges, reduced_model, 58228, 214078, 20, 10, NA, 4670.0, 60920, 947, 1116.0, 1315.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3601.66
Brightkite_edges, reduced_model, 58228, 214078, 20, 15, NA, 5376.0, 60920, 947, 1142.0, 1382.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3601.74
Gowalla_edges, reduced_model, 196591, 950327, 20, 1, NA, 1.0, 200539, 8161, 8195.0, 8195.0, NA, NA, 0, 0, 0, False, False, False, False, False, 44.16
Gowalla_edges, reduced_model, 196591, 950327, 20, 5, NA, 13199.0, 200539, 8161, 8262.0, 8360.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3609.56
Gowalla_edges, reduced_model, 196591, 950327, 20, 10, NA, 2853.0, 200539, 8161, 8334.0, 8630.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3609.04
Gowalla_edges, reduced_model, 196591, 950327, 20, 15, NA, 2886.0, 200539, 8161, 8404.0, 8720.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3609.07
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 1, NA, 1.0, 329837, 3066, 3067.0, 3067.0, NA, NA, 0, 0, 0, False, False, False, False, False, 188.82
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 5, NA, 699.0, 329837, 3066, 3089.0, 3162.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3609.16
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 10, NA, 1.0, 329837, 3066, 3107.0, 3228.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3609.67
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 15, NA, 1.0, 329837, 3066, 3114.0, 3296.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3609.77
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 1, NA, 1.0, 1138333, 18890, 18907.0, 18907.0, NA, NA, 0, 0, 0, False, False, False, False, False, 177.97
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 5, NA, 1580.0, 1138333, 18890, 18957.0, 19048.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3645.68
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 10, NA, 34.0, 1138333, 18890, 19006.0, 19216.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3643.44
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 15, NA, 21.0, 1138333, 18890, 19048.0, 19276.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3643.6
facebook_combined, reduced_model, 4039, 88234, 20, 1, NA, 1.0, 2241, 1854, 1862.0, 1862.0, NA, NA, 431, 8, 0.41, False, False, False, False, False, 2.19
facebook_combined, reduced_model, 4039, 88234, 20, 5, NA, 2576.0, 2516, 1854, 1903.0, 1903.0, NA, NA, 156, 7, 0.37, False, False, False, False, False, 2.77
facebook_combined, reduced_model, 4039, 88234, 20, 10, NA, 6472.0, 2647, 1854, 1926.0, 1926.0, NA, NA, 25, 3, 0.17, False, False, False, False, False, 23.55
facebook_combined, reduced_model, 4039, 88234, 20, 15, NA, 31880.0, 2661, 1854, 1946.0, 1946.0, NA, NA, 11, 3, 0.17, False, False, False, False, False, 90.7
Brightkite_edges, reduced_model, 58228, 214078, 20, 1, NA, 1.0, 57498, 947, 973.0, 973.0, NA, NA, 3422, 19, 0.75, False, False, False, False, False, 2.32
Brightkite_edges, reduced_model, 58228, 214078, 20, 5, NA, 27546.0, 58690, 947, 1019.0, 1154.0, NA, NA, 2230, 13, 0.73, False, False, False, False, False, 3601.94
Brightkite_edges, reduced_model, 58228, 214078, 20, 10, NA, 2614.0, 60189, 947, 1118.0, 1312.0, NA, NA, 731, 10, 0.72, False, False, False, False, False, 3602.4
Brightkite_edges, reduced_model, 58228, 214078, 20, 15, NA, 3262.0, 60833, 947, 1116.0, 1377.0, NA, NA, 87, 3, 0.24, False, False, False, False, False, 3602.42
Gowalla_edges, reduced_model, 196591, 950327, 20, 1, NA, 1.0, 189269, 8161, 8195.0, 8195.0, NA, NA, 11270, 16, 5.59, False, False, False, False, False, 15.71
Gowalla_edges, reduced_model, 196591, 950327, 20, 5, NA, 29673.0, 193384, 8161, 8267.0, 8386.0, NA, NA, 7155, 13, 5.27, False, False, False, False, False, 3613.87
Gowalla_edges, reduced_model, 196591, 950327, 20, 10, NA, 2559.0, 197822, 8161, 8337.0, 8530.0, NA, NA, 2717, 12, 5.29, False, False, False, False, False, 3614.27
Gowalla_edges, reduced_model, 196591, 950327, 20, 15, NA, 2232.0, 200138, 8161, 8394.0, 8715.0, NA, NA, 401, 5, 2.2, False, False, False, False, False, 3611.37
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 1, NA, 0.0, 314034, 3066, 3067.0, 3067.0, NA, NA, 15803, 10, 2.16, False, False, False, False, False, 10.36
