instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, num_prop_10_fixings, prop_10, prop_10_comp_time, warm_start, prop_8, num_prop_8_inequalties_added, prop_8_comp_time, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 0.0, 2479, 2061, 2549.43, 2549.43, NA, NA, 0, 0, 0, False, 0, True, 0.08, False, True, 683, 0.01, False, True, False, 0.55
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 0.0, 6049, 6591, 7065.88, 7065.88, NA, NA, 0, 0, 0, False, 748, True, 0.13, False, True, 748, 0.02, False, True, False, 0.91
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 0.0, 8085, 6985, 8264.02, 8264.02, NA, NA, 0, 0, 0, False, 205, True, 0.59, False, True, 1396, 0.02, False, True, False, 5.22
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 0.0, 8120, 7008, 8125.08, 8125.08, NA, NA, 0, 0, 0, False, 239, True, 0.44, False, True, 1136, 0.02, False, True, False, 3.87
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 0.0, 10848, 13464, 14141.32, 14141.32, NA, NA, 0, 0, 0, False, 1605, True, 0.13, False, True, 1400, 0.03, False, True, False, 1.25
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 0.0, 25887, 34706, 35400.5, 35400.5, NA, NA, 0, 0, 0, False, 830, True, 0.31, False, True, 2360, 0.07, False, True, False, 2.8
flickrEdges, reduced_model, 105938, 2316948, 4, 250, NA, 0.0, 554, 105386, 105388.0, 105388.0, NA, NA, 0, 0, 0, False, 178, True, 3.45, False, True, 3, 0.13, False, True, False, 36.89
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 0.0, 72742, 78945, 80287.7, 80287.7, NA, NA, 0, 0, 0, False, 3282, True, 6.3, False, True, 1894, 0.16, False, True, False, 1103.73
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 0.0, 100437, 106417, 108957.15, 108957.15, NA, NA, 0, 0, 0, False, 3991, True, 1.4, False, True, 11230, 0.28, False, True, False, 16.54
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 0.0, 82847, 152966, 155390.27, 155390.27, NA, NA, 0, 0, 0, False, 1570, True, 1.3, False, True, 8966, 0.36, False, True, False, 12.86
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 0.0, 124059, 204031, 206937.42, 206937.42, NA, NA, 0, 0, 0, False, 1920, True, 1.68, False, True, 11353, 0.5, False, True, False, 16.13
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 0.0, 221076, 214490, 218699.11, 218699.11, NA, NA, 0, 0, 0, False, 7245, True, 11.15, False, True, 9207, 0.49, False, True, False, 496.49
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 0.0, 234446, 231419, 236349.85, 236349.85, NA, NA, 0, 0, 0, False, 3852, True, 18.65, False, True, 9664, 0.54, False, True, False, 1155.62
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 0.0, 429949, 492655, 508224.64, 508224.64, NA, NA, 0, 0, 0, False, 19600, True, 6.24, False, True, 45995, 1.29, False, True, False, 83.0
web-hudong.e, reduced_model, 1974655, 14428382, 5, 250, NA, 0.0, 959493, 1055322, 1064290.07, 1064290.07, NA, NA, 0, 0, 0, False, 32875, True, 25.6, False, True, 42459, 2.47, False, True, False, 776.47
web-baidu-baike.e, reduced_model, 2140198, 17014946, 3, 250, NA, 0.0, 895053, 1277646, 1281799.13, 1281799.13, NA, NA, 0, 0, 0, False, 47591, True, 32.26, False, True, 34924, 2.6, False, True, False, 1027.39
facebook_combined, reduced_model, 4039, 88234, 20, 20, NA, 0.0, 2672, 1854, 2228.08, 2228.08, NA, NA, 0, 0, 0, False, 1, True, 0.07, False, True, 745, 0.01, False, True, False, 6.22
Brightkite_edges, reduced_model, 58228, 214078, 20, 20, NA, 0.0, 60920, 947, 3368.78, 3368.78, NA, NA, 0, 0, 0, False, 20376, True, 0.23, False, True, 4630, 0.05, False, True, False, 4.76
flickrEdges, reduced_model, 105938, 2316948, 20, 20, NA, 0.0, 95668, 15808, 16237.78, 16237.78, NA, NA, 0, 0, 0, False, 6674, True, 2.95, False, True, 8529, 0.12, False, True, False, 41.4
Gowalla_edges, reduced_model, 196591, 950327, 20, 20, NA, 0.0, 200539, 8161, 15663.16, 15663.16, NA, NA, 0, 0, 0, False, 61051, True, 0.98, False, True, 16694, 0.19, False, True, False, 39.41
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 20, NA, 0.0, 329837, 3066, 6970.54, 6970.54, NA, NA, 0, 0, 0, False, 114050, True, 1.04, False, True, 26347, 0.29, False, True, False, 559.57
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 20, NA, 0.0, 1138333, 18890, 31579.82, 31579.82, NA, NA, 0, 0, 0, False, 395007, True, 3.92, False, True, 25026, 0.4, False, True, False, 118.83
