instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 20, 250, NA, 9792.0, 2672, 1854, 2275.0, 2275.0, NA, NA, 0, 0, 0, False, False, False, False, False, 7.93
CA-HepPh, reduced_model, 12006, 118489, 20, 250, NA, 30659.0, 10632, 1967, 2167.0, 2178.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3600.66
socfb-Syracuse56, reduced_model, 13653, 543982, 20, 250, NA, 1.0, 3038, 10858, 11081.0, 11081.0, NA, NA, 0, 0, 0, False, False, False, False, False, 4.81
socfb-Northeastern19, reduced_model, 13882, 381934, 20, 250, NA, 1.0, 4514, 9771, 10072.0, 10072.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3.76
CA-CondMat, reduced_model, 23133, 93439, 20, 250, NA, 1329.0, 24955, 51, 381.0, 593.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3600.73
Brightkite_edges, reduced_model, 58228, 214078, 20, 250, NA, 79.0, 60920, 947, 1768.0, 2184.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3601.66
soc-catster.e, reduced_model, 149684, 5448197, 20, 250, NA, 1.0, 67975, 83427, 83932.0, 83932.0, NA, NA, 0, 0, 0, False, False, False, False, False, 1104.09
Gowalla_edges, reduced_model, 196591, 950327, 20, 250, NA, 1.0, 200539, 8161, 9259.0, 10156.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3611.97
ca-citeseer, reduced_model, 227320, 814134, 20, 250, NA, 14.0, 229719, 6771, 7216.0, 7411.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3607.4
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 250, NA, 1.0, 329837, 3066, 3316.0, 5244.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3609.58
soc-dogster.e, reduced_model, 426816, 8543549, 20, 250, NA, 2423.0, 310462, 131630, 132729.0, 132729.0, NA, NA, 0, 0, 0, False, False, False, False, False, 539.88
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 20, 250, NA, 44820.0, 259467, 207736, 208633.0, 208643.0, NA, NA, 0, 0, 0, False, False, False, False, False, 4764.16
web-Google, reduced_model, 875713, 4322051, 20, 250, NA, 1.0, 940726, 11073, 13315.0, 17931.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3661.22
web-hudong.e, reduced_model, 1974655, 14428382, 20, 250, NA, 1.0, 1888394, 157961, 158252.0, 171524.0, NA, NA, 0, 0, 0, False, False, False, False, False, 4314.55
