
Gurobi 9.5.0 (win64) logging started Sun Jun 19 21:13:53 2022

Set parameter LogFile to value "../results/logs/log_facebook_combined_20_5_2022_06_19_21_13.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (win64)
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads
Optimize a model with 1243 rows, 8078 columns and 23640 nonzeros
Model fingerprint: 0x0b174dd8
Variable types: 0 continuous, 8078 integer (8078 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+01]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 5e+00]
Found heuristic solution: objective 1854.0000000
Presolve removed 455 rows and 6849 columns
Presolve time: 0.06s
Presolved: 788 rows, 1229 columns, 11557 nonzeros
Extracted 154 lazy constraints
Found heuristic solution: objective 1857.0000000
Variable types: 0 continuous, 1229 integer (1142 binary)

Root relaxation: objective 2.116718e+03, 424 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2116.71818    0  207 1857.00000 2116.71818  14.0%     -    0s
H    0     0                    1858.0000000 2116.71818  13.9%     -    0s
H    0     0                    1884.0000000 1971.10425  4.62%     -    0s
H    0     0                    1885.0000000 1971.10425  4.57%     -    0s
     0     0 1971.10425    0  152 1885.00000 1971.10425  4.57%     -    0s
H    0     0                    1889.0000000 1971.10425  4.35%     -    0s
     0     0 1968.52814    0  246 1889.00000 1968.52814  4.21%     -    0s
     0     0 1968.32739    0  231 1889.00000 1968.32739  4.20%     -    0s
     0     0 1968.30205    0  237 1889.00000 1968.30205  4.20%     -    0s
     0     0 1941.64352    0  217 1889.00000 1941.64352  2.79%     -    0s
     0     0 1936.37132    0  211 1889.00000 1936.37132  2.51%     -    0s
     0     0 1935.11348    0  198 1889.00000 1935.11348  2.44%     -    0s
     0     0 1934.47928    0  203 1889.00000 1934.47928  2.41%     -    0s
     0     0 1934.15327    0  203 1889.00000 1934.15327  2.39%     -    0s
     0     0 1934.11404    0  205 1889.00000 1934.11404  2.39%     -    0s
H    0     0                    1891.0000000 1934.11404  2.28%     -    0s
     0     0 1927.37947    0  251 1891.00000 1927.37947  1.92%     -    0s
     0     0 1925.75480    0  245 1891.00000 1925.75480  1.84%     -    0s
     0     0 1925.35057    0  189 1891.00000 1925.35057  1.82%     -    0s
     0     0 1924.93288    0  195 1891.00000 1924.93288  1.79%     -    0s
     0     0 1924.83653    0  189 1891.00000 1924.83653  1.79%     -    0s
     0     0 1922.07133    0  199 1891.00000 1922.07133  1.64%     -    1s
     0     0 1921.29028    0  207 1891.00000 1921.29028  1.60%     -    1s
     0     0 1920.91959    0  216 1891.00000 1920.91959  1.58%     -    1s
     0     0 1920.78922    0  217 1891.00000 1920.78922  1.58%     -    1s
H    0     0                    1899.0000000 1920.21439  1.12%     -    1s
     0     0 1920.21439    0  246 1899.00000 1920.21439  1.12%     -    1s
     0     0 1920.21439    0  246 1899.00000 1920.21439  1.12%     -    1s
     0     2 1920.09039    0  246 1899.00000 1920.09039  1.11%     -    1s
*   77    68              11    1900.0000002 1919.13659  1.01%  39.7    1s
