instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, num_prop_10_fixings, prop_10, prop_10_comp_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 0.0, 2479, 2061, 2551.96, 2551.96, NA, NA, 0, 0, 0, False, 0, True, 0.07, False, False, False, True, False, 0.5
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 0.0, 6049, 6591, 7114.5, 7114.5, NA, NA, 0, 0, 0, False, 748, True, 0.12, False, False, False, True, False, 0.85
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 0.0, 8085, 6985, 8317.44, 8317.44, NA, NA, 0, 0, 0, False, 205, True, 0.56, False, False, False, True, False, 4.97
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 0.0, 8120, 7008, 8187.01, 8187.01, NA, NA, 0, 0, 0, False, 239, True, 0.42, False, False, False, True, False, 3.58
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 0.0, 10848, 13464, 14343.84, 14343.84, NA, NA, 0, 0, 0, False, 1605, True, 0.12, False, False, False, True, False, 1.21
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 0.0, 25887, 34706, 36099.5, 36099.5, NA, NA, 0, 0, 0, False, 830, True, 0.3, False, False, False, True, False, 2.69
flickrEdges, reduced_model, 105938, 2316948, 4, 250, NA, 0.0, 554, 105386, 105388.0, 105388.0, NA, NA, 0, 0, 0, False, 178, True, 3.37, False, False, False, True, False, 37.44
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 0.0, 72742, 78945, 80801.72, 80801.72, NA, NA, 0, 0, 0, False, 3282, True, 5.89, False, False, False, True, False, 1085.58
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 0.0, 100437, 106417, 113017.29, 113017.29, NA, NA, 0, 0, 0, False, 3991, True, 1.32, False, False, False, True, False, 16.05
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 0.0, 82847, 152966, 157856.31, 157856.31, NA, NA, 0, 0, 0, False, 1570, True, 1.27, False, False, False, True, False, 12.37
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 0.0, 124059, 204031, 210415.12, 210415.12, NA, NA, 0, 0, 0, False, 1920, True, 1.67, False, False, False, True, False, 15.44
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 0.0, 221076, 214490, 222144.93, 222144.93, NA, NA, 0, 0, 0, False, 7245, True, 10.8, False, False, False, True, False, 482.83
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 0.0, 234446, 231419, 239766.52, 239766.52, NA, NA, 0, 0, 0, False, 3852, True, 17.83, False, False, False, True, False, 1147.58
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 0.0, 429949, 492655, 519086.05, 519086.05, NA, NA, 0, 0, 0, False, 19600, True, 5.96, False, False, False, True, False, 81.07
web-hudong.e, reduced_model, 1974655, 14428382, 5, 250, NA, 0.0, 959493, 1055322, 1086242.55, 1086242.55, NA, NA, 0, 0, 0, False, 32875, True, 24.08, False, False, False, True, False, 741.38
web-baidu-baike.e, reduced_model, 2140198, 17014946, 3, 250, NA, 0.0, 895053, 1277646, 1297872.26, 1297872.26, NA, NA, 0, 0, 0, False, 47591, True, 30.51, False, False, False, True, False, 1011.2
facebook_combined, reduced_model, 4039, 88234, 20, 20, NA, 0.0, 2672, 1854, 2275.17, 2275.17, NA, NA, 0, 0, 0, False, 1, True, 0.07, False, False, False, True, False, 6.23
Brightkite_edges, reduced_model, 58228, 214078, 20, 20, NA, 0.0, 60920, 947, 3524.91, 3524.91, NA, NA, 0, 0, 0, False, 20376, True, 0.21, False, False, False, True, False, 3.84
flickrEdges, reduced_model, 105938, 2316948, 20, 20, NA, 0.0, 95668, 15808, 16305.32, 16305.32, NA, NA, 0, 0, 0, False, 6674, True, 2.83, False, False, False, True, False, 43.75
Gowalla_edges, reduced_model, 196591, 950327, 20, 20, NA, 0.0, 200539, 8161, 16391.29, 16391.29, NA, NA, 0, 0, 0, False, 61051, True, 0.94, False, False, False, True, False, 28.7
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 20, NA, 0.0, 329837, 3066, 7285.8, 7285.8, NA, NA, 0, 0, 0, False, 114050, True, 0.99, False, False, False, True, False, 367.55
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 20, NA, 0.0, 1138333, 18890, 32862.46, 32862.46, NA, NA, 0, 0, 0, False, 395007, True, 3.69, False, False, False, True, False, 99.29
