instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, num_prop_9_inequalties_added, prop_9_comp_time, prop_10, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 1.0, 2479, 2061, 2533.0, 2533.0, NA, NA, 0, 0, 0, True, 16, 0.59, False, False, False, False, False, False, 1.44
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 1.0, 6049, 6591, 6978.0, 6978.0, NA, NA, 0, 0, 0, True, 2, 0.75, False, False, False, False, False, False, 1.57
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 10448.0, 8085, 6985, 7644.0, 7734.0, NA, NA, 0, 0, 0, True, 0, 1.58, False, False, False, False, False, False, 3605.77
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 29474.0, 8120, 7008, 7588.0, 7614.0, NA, NA, 0, 0, 0, True, 0, 0.63, False, False, False, False, False, False, 3603.42
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 1.0, 10848, 13464, 13939.0, 13939.0, NA, NA, 0, 0, 0, True, 6, 7.07, False, False, False, False, False, False, 8.29
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 29.0, 25887, 34706, 35267.0, 35267.0, NA, NA, 0, 0, 0, True, 0, 20.1, False, False, False, False, False, False, 22.62
flickrEdges, reduced_model, 105938, 2316948, 4, 250, NA, 0.0, 554, 105386, 105388.0, 105388.0, NA, NA, 0, 0, 0, True, 0, 1.05, False, False, False, False, False, False, 34.42
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 1.0, 72742, 78945, 79561.0, 79561.0, NA, NA, 0, 0, 0, True, 0, 1.38, False, False, False, False, False, False, 1114.68
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 1.0, 100437, 106417, 107299.0, 107299.0, NA, NA, 0, 0, 0, True, 1, 277.47, False, False, False, False, False, False, 295.75
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 1779.0, 82847, 152966, 153765.0, 153765.0, NA, NA, 0, 0, 0, True, 1, 1312.64, False, False, False, False, False, False, 1331.44
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 2452.0, 124059, 204031, 204857.0, 204857.0, NA, NA, 0, 0, 0, True, 3, 2437.92, False, False, False, False, False, False, 2458.48
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 66.0, 221076, 214490, 215343.0, 215343.0, NA, NA, 0, 0, 0, True, 2, 11519.1, False, False, False, False, False, False, 11902.29
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 3879.0, 234446, 231419, 232329.0, 232329.0, NA, NA, 0, 0, 0, True, 0, 3.17, False, False, False, False, False, False, 1269.92
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 2747.0, 429949, 492655, 494579.0, 494579.0, NA, NA, 0, 0, 0, True, 0, 74279.28, False, False, False, False, False, False, 74573.14
web-hudong.e, reduced_model, 1974655, 14428382, 5, 250, NA, 1515.0, 959493, 1055322, 1056519.0, 1056519.0, NA, NA, 0, 0, 0, True, 0, 8307.29, False, False, False, False, False, False, 9097.51
