instances, , , ,Original Model, , , ,Reduced Model

	             #name, #nodes, #edges, #k-cores, #vars, LB, UB, time, #vars, LB, UB, time
karate_club, davis_southern_women_graph, florentine_families_graph, les_miserables_graph, connected_caveman_graph, 34,78,a,68,34.0,34.0,0.011996269226074219,a,a,a,0.27892327308654785
karate_club, davis_southern_women_graph, florentine_families_graph, les_miserables_graph, connected_caveman_graph, 34,78,1,68,33.0,33.0,0.007995128631591797,2,32.0,32.0,0.15795564651489258
test_graph, 32,89,a,64,32.0,32.0,0.006997585296630859,a,a,a,0.054982900619506836
test_graph, 32,89,a,64,32.0,32.0,0.008999347686767578,a,a,a,0.05298471450805664
test_graph2, 15,20,a,30,15.0,15.0,0.004998207092285156,a,a,a,0.035989999771118164
test_graph2, 15,20,1,30,11.0,11.0,0.004998922348022461,10,10.0,10.0,0.05298423767089844
test_graph3, 77,254,a,154,77.0,77.0,0.01599574089050293,a,a,a,0.12896299362182617
test_graph3, 77,254,1,154,60.0,60.0,0.014995098114013672,36,59.0,59.0,0.14696502685546875
test_graph4, 9,9,a,18,9.0,9.0,0.0029990673065185547,a,a,a,0.0359957218170166
test_graph4, 9,9,1,18,6.0,6.0,0.0029990673065185547,6,5.0,5.0,0.048986196517944336
test_graph5, 30,41,a,60,30.0,30.0,0.005998134613037109,a,a,a,0.05199003219604492
test_graph5, 30,41,1,60,27.0,27.0,0.006997823715209961,6,26.0,26.0,0.06798696517944336
