instances, , , ,Original Model, , , ,Reduced Model

	             #name, #nodes, #edges, #k-cores, #vars, LB, UB, time, #vars, LB, UB, time
erdos_renyi_nodes1501-1, 150,570,1,300,150.0,150.0,0.03498983383178711,0,150.0,150.0,0.005998373031616211
erdos_renyi_nodes1501-2, 150,570,1,300,150.0,150.0,0.02699136734008789,0,150.0,150.0,0.004999637603759766
erdos_renyi_nodes1501-3, 150,570,1,300,150.0,150.0,0.02699875831604004,0,150.0,150.0,0.01799488067626953
erdos_renyi_nodes1501-4, 150,570,1,300,150.0,150.0,0.0269925594329834,0,150.0,150.0,0.004998445510864258
erdos_renyi_nodes1501-5, 150,570,1,300,150.0,150.0,0.026874542236328125,0,150.0,150.0,0.006003856658935547
erdos_renyi_nodes1501-6, 150,570,1,300,150.0,150.0,0.02702951431274414,0,150.0,150.0,0.0049784183502197266
erdos_renyi_nodes1501-7, 150,570,1,300,150.0,150.0,0.027009248733520508,0,150.0,150.0,0.004998445510864258
erdos_renyi_nodes1501-8, 150,570,1,300,150.0,150.0,0.02599811553955078,0,150.0,150.0,0.005004167556762695
erdos_renyi_nodes1501-9, 150,570,1,300,150.0,150.0,0.02599811553955078,0,150.0,150.0,0.005004405975341797
erdos_renyi_nodes1501-10, 150,570,1,300,150.0,150.0,0.02700948715209961,0,150.0,150.0,0.00500798225402832
erdos_renyi_nodes1501-11, 150,570,1,300,150.0,150.0,0.027068614959716797,0,150.0,150.0,0.004998683929443359
erdos_renyi_nodes1501-12, 150,570,1,300,150.0,150.0,0.02643752098083496,0,150.0,150.0,0.005004167556762695
erdos_renyi_nodes1501-13, 150,570,1,300,150.0,150.0,0.02803182601928711,0,150.0,150.0,0.004998207092285156
erdos_renyi_nodes1501-14, 150,570,1,300,150.0,150.0,0.0272214412689209,0,150.0,150.0,0.0059964656829833984
erdos_renyi_nodes1501-15, 150,570,1,300,150.0,150.0,0.026992082595825195,0,150.0,150.0,0.005998373031616211
erdos_renyi_nodes1501-16, 150,570,1,300,150.0,150.0,0.027034759521484375,0,150.0,150.0,0.006997585296630859
erdos_renyi_nodes1501-17, 150,570,1,300,150.0,150.0,0.027992725372314453,0,150.0,150.0,0.004998922348022461
erdos_renyi_nodes1501-18, 150,570,1,300,150.0,150.0,0.026990890502929688,0,150.0,150.0,0.004998922348022461
erdos_renyi_nodes1501-19, 150,570,1,300,150.0,150.0,0.027013063430786133,0,150.0,150.0,0.004975557327270508
