instances, , , , , , Base Model, , , , , , , , Reduced Model, , , , , , , , Reduced Model with warm start, , , , , , , , Reduced Model with warm start and y_edges, , , , , , , , Reduced Model y_saturated, , , , , , , , Reduced Model Conflict Warm Start,,,,,,,
#name, k, b, #nodes, #edges, #k-cores, #vars, #edges_removed, time_to_remove_edges, #y-sat_nodes, time_to_find_y_sat, UB, LB, time, #vars, #edges_removed, time_to_remove_edges, #y-sat_nodes, time_to_find_y_sat, UB, LB, time, #vars, #edges_removed, time_to_remove_edges, #y-sat_nodes, time_to_find_y_sat, UB, LB, time, #vars, #edges_removed, time_to_remove_edges, #y-sat_nodes, time_to_find_y_sat, UB, LB, time, #vars, #edges_removed, time_to_remove_edges, #y-sat_nodes, time_to_find_y_sat, UB, LB, time, #vars, #edges_removed, time_to_remove_edges, #y-sat_nodes, time_to_find_y_sat, UB, LB, time
facebook_combined,17,250,4039,88234,2061,3956,NA,NA,NA,NA,472,472,1.20066332817078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-CondMat,4,250,23133,93497,13467,19332,NA,NA,NA,NA,475,475,5.30047678947449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-HepPh,4,250,12008,118521,6591,10834,NA,NA,NA,NA,387,387,1.89546704292297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brightkite_edges,2,250,58228,214078,34706,47044,NA,NA,NA,NA,561,561,26.0728693008423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
socfb-Northeastern19,33,250,13882,381934,7008,13748,NA,NA,NA,NA,614,576,3603.34069824219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
socfb-Syracuse56,46,250,13653,543982,6985,13336,NA,NA,NA,NA,747,657,3603.89898610115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gowalla_edges,3,250,196591,950327,106417,180348,NA,NA,NA,NA,882,882,287.65732550621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com-dblp.ungraph,3,250,317080,1049866,204031,226098,NA,NA,NA,NA,826,826,639.443486452103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
web-Google,4,250,875713,4322051,492655,766116,NA,NA,NA,NA,1924,1924,5831.81895232201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soc-catster.e,21,250,149700,5449275,78978,141444,NA,NA,NA,NA,615,615,174.97913146019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soc-dogster.e,12,250,426820,8546581,214658,424324,NA,NA,NA,NA,850,850,1322.75661540031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soc-twitter-higgs.e,17,250,456631,12508465,231420,450422,NA,NA,NA,NA,910,910,1736.67922306061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,472,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,475,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,561,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,576,0.061889250814332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,657,0.120481927710843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,882,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,826,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,1924,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,615,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,850,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,910,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
