Instance, model_type, k, b, #vars, B&B, time, LB, UB, gap(%) ,,,,,,,,,,,facebook_combined,base_model,17,250,8078,1.0,18.2,,facebook_combined,reduced_model,17,250,2479,1.0,13.56,2533.0,,,18.2,13.56
facebook_combined,base_model,17,250,8078,1.0,18.2,2533.0,2533.0,0.0,,,,,,,,,,,CA-HepPh,base_model,4,250,24012,1.0,7.59,,CA-HepPh,reduced_model,4,250,6049,1.0,3.74,6978.0,,,7.59,3.74
CA-HepPh,base_model,4,250,24012,1.0,7.59,6978.0,6978.0,0.0,,,,,,,,,,,socfb-Syracuse56,base_model,46,250,27306,279.0,3655.83,,socfb-Syracuse56,reduced_model,46,250,8085,641.0,3693.38,7582.0,,,3655.83,3693.38
socfb-Syracuse56,base_model,46,250,27306,279.0,3655.83,7608.0,7774.0,0.02181913774973712,,,,,,,,,,,socfb-Northeastern19,base_model,33,250,27764,486.0,3688.41,,socfb-Northeastern19,reduced_model,33,250,8120,1112.0,3723.35,7577.0,,,3688.41,3723.35
socfb-Northeastern19,base_model,33,250,27764,486.0,3688.41,7583.0,7648.0,0.008571805354081499,,,,,,,,,,,CA-CondMat,base_model,4,250,46266,1.0,30.55,,CA-CondMat,reduced_model,4,250,10848,1.0,15.03,13939.0,,,30.55,15.03
CA-CondMat,base_model,4,250,46266,1.0,30.55,13939.0,13939.0,0.0,,,,,,,,,,,Brightkite_edges,base_model,2,250,116456,15.0,53.59,,Brightkite_edges,reduced_model,2,250,25887,1061.0,1004.66,35267.0,,,53.59,1004.66
Brightkite_edges,base_model,2,250,116456,15.0,53.59,35267.0,35267.0,0.0,,,,,,,,,,,flickrEdges,base_model,4,250,211876,1.0,111.81,,flickrEdges,reduced_model,4,250,554,1.0,33.15,105388.0,,,111.81,33.15
flickrEdges,base_model,4,250,211876,1.0,111.81,105388.0,105388.0,0.0,,,,,,,,,,,soc-catster.e,base_model,21,250,299368,39.0,3677.69,,soc-catster.e,reduced_model,21,250,72742,1.0,1793.41,79561.0,,,3677.69,1793.41
soc-catster.e,base_model,21,250,299368,39.0,3677.69,79561.0,79567.0,7.5413833410842e-05,,,,,,,,,,,Gowalla_edges,base_model,3,250,393182,1.0,180.94,,Gowalla_edges,reduced_model,3,250,100437,1.0,77.72,107299.0,,,180.94,77.72
Gowalla_edges,base_model,3,250,393182,1.0,180.94,107299.0,107299.0,0.0,,,,,,,,,,,ca-citeseer,base_model,3,250,454640,1.0,280.31,,ca-citeseer,reduced_model,3,250,82847,336.0,2827.63,153765.0,,,280.31,2827.63
ca-citeseer,base_model,3,250,454640,1.0,280.31,153765.0,153765.0,0.0,,,,,,,,,,,com-dblp.ungraph,base_model,3,250,634160,1.0,345.07,,com-dblp.ungraph,reduced_model,3,250,124059,1.0,498.39,204857.00000041668,,,345.07,498.39
com-dblp.ungraph,base_model,3,250,634160,1.0,345.07,204857.00000046525,204857.00000046522,-1.4206900646142238e-16,,,,,,,,,,,,MEM,,,,,,,soc-dogster.e,reduced_model,12,250,221076,31.0,4632.59,215342.99999868285,,,,4632.59
facebook_combined,base_model,20,20,8078,6714.0,3675.07,1965.0,1995.0,0.015267175572519083,,,,,,,,,,,,MEM,,,,,,,soc-twitter-higgs.e,reduced_model,17,250,234446,1.0,4900.88,232319.0,,,,4900.88
Brightkite_edges,base_model,20,20,116456,749.0,3714.45,1134.0,1471.0,0.29717813051146386,,,,,,,,,,,,,,,,,,,web-Google,reduced_model,4,250,429949,31.0,4116.63,494574.0,,,,4116.63
flickrEdges,base_model,20,20,211876,1.0,3616.96,15833.0,15834.0,6.31592244047243e-05,,,,,,,,,,,,,,,,,,,web-hudong.e,reduced_model,5,250,959493,1.0,4458.43,1056514.0,,,,4458.43
Gowalla_edges,base_model,20,20,393182,15.0,3655.72,8392.0,8792.0,0.047664442326024785,,,,,,,,,,,,,,,,,,,web-baidu-baike.e,reduced_model,3,250,895053,1.0,3656.38,1278551.0,,,,3656.38
com-dblp.ungraph,base_model,20,20,634160,1.0,3616.13,3110.0,3669.0,0.1797427652733119,,,,,,,,,,,facebook_combined,base_model,20,20,8078,6714.0,3675.07,,facebook_combined,reduced_model,20,20,2672,6989.0,3668.66,1965.0,,,3675.07,3668.66
com-youtube.ungraph,base_model,20,20,2269780,1.0,3654.67,19071.0,22139.0,0.1608725289706885,,,,,,,,,,,Brightkite_edges,base_model,20,20,116456,749.0,3714.45,,Brightkite_edges,reduced_model,20,20,60920,784.0,3713.92,1170.0,,,3714.45,3713.92
facebook_combined,reduced_model,17,250,2479,1.0,15.41,2533.0,2533.0,0.0,,,,,,,,,,,flickrEdges,base_model,20,20,211876,1.0,3616.96,,flickrEdges,reduced_model,20,20,95668,24.0,3631.31,15833.0,,,3616.96,3631.31
facebook_combined,reduced_model,17,250,2479,1.0,13.56,2533.0,2533.0,0.0,,,,,,,,,,,Gowalla_edges,base_model,20,20,393182,15.0,3655.72,,Gowalla_edges,reduced_model,20,20,200539,61.0,3970.44,8419.0,,,3655.72,3970.44
CA-HepPh,reduced_model,4,250,6049,1.0,3.74,6978.0,6978.0,0.0,,,,,,,,,,,com-dblp.ungraph,base_model,20,20,634160,1.0,3616.13,,com-dblp.ungraph,reduced_model,20,20,329837,1.0,3610.25,3121.0,,,3616.13,3610.25
socfb-Syracuse56,reduced_model,46,250,8085,641.0,3693.38,7582.0,7775.0,0.025455025059351096,,,,,,,,,,,com-youtube.ungraph,base_model,20,20,2269780,1.0,3654.67,,com-youtube.ungraph,reduced_model,20,20,1138333,1.0,3647.28,19087.0,,,3654.67,3647.28
socfb-Northeastern19,reduced_model,33,250,8120,1112.0,3723.35,7577.0,7643.0,0.008710571466279531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-CondMat,reduced_model,4,250,10848,1.0,15.03,13939.0,13939.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brightkite_edges,reduced_model,2,250,25887,1061.0,1004.66,35267.0,35267.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flickrEdges,reduced_model,4,250,554,1.0,33.15,105388.0,105388.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soc-catster.e,reduced_model,21,250,72742,1.0,1793.41,79561.0,79561.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gowalla_edges,reduced_model,3,250,100437,1.0,77.72,107299.0,107299.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca-citeseer,reduced_model,3,250,82847,336.0,2827.63,153765.0,153765.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com-dblp.ungraph,reduced_model,3,250,124059,1.0,498.39,204857.00000041668,204857.00000041668,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soc-dogster.e,reduced_model,12,250,221076,31.0,4632.59,215342.99999868285,215351.0,3.715004117710344e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soc-twitter-higgs.e,reduced_model,17,250,234446,1.0,4900.88,232319.0,232354.0,0.00015065491845264484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
web-Google,reduced_model,4,250,429949,31.0,4116.63,494574.0,494622.0,9.705322156037316e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
web-hudong.e,reduced_model,5,250,959493,1.0,4458.43,1056514.0,1056535.0,1.9876688808666993e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
web-baidu-baike.e,reduced_model,3,250,895053,1.0,3656.38,1278551.0,1278551.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook_combined,reduced_model,20,20,2672,6989.0,3668.66,1965.0,1996.0,0.015776081424936386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brightkite_edges,reduced_model,20,20,60920,784.0,3713.92,1170.0,1443.0,0.23333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flickrEdges,reduced_model,20,20,95668,24.0,3631.31,15833.0,15838.0,0.00031579612202362154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gowalla_edges,reduced_model,20,20,200539,61.0,3970.44,8419.0,8760.0,0.040503622758047274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com-dblp.ungraph,reduced_model,20,20,329837,1.0,3610.25,3121.0,3544.0,0.1355334828580583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com-youtube.ungraph,reduced_model,20,20,1138333,1.0,3647.28,19087.0,19943.0,0.044847278252213546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
