instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model,4039,88234,17,16, NA,107170,2479,2061,2241,2241, NA, NA,0,0,0, False, False, False, False, False,269.53
CA-HepPh, reduced_model,12006,118489,4,3, NA,1,6049,6591,6606,6606, NA, NA,0,0,0, False, False, False, False, False,0.85
socfb-Syracuse56, reduced_model,13653,543982,46,45, NA,9580,8085,6985,7197,7329, NA, NA,0,0,0, False, False, False, False, False,3604.22
socfb-Northeastern19, reduced_model,13882,381934,33,32, NA,25623,8120,7008,7163,7191, NA, NA,0,0,0, False, False, False, False, False,3602.77
CA-CondMat, reduced_model,23133,93439,4,3, NA,1,10848,13464,13482,13482, NA, NA,0,0,0, False, False, False, False, False,1.26
Brightkite_edges, reduced_model,58228,214078,2,1, NA,1,25887,34706,34711,34711, NA, NA,0,0,0, False, False, False, False, False,2.48
,,,,,,,,,,,,,,,,,,,,,,
soc-catster.e, reduced_model,149684,5448197,21,20, NA,1,72742,78945,79076,79076, NA, NA,0,0,0, False, False, False, False, False,1120.8
Gowalla_edges, reduced_model,196591,950327,3,2, NA,1,100437,106417,106430,106430, NA, NA,0,0,0, False, False, False, False, False,17.98
ca-citeseer, reduced_model,227320,814134,3,2, NA,1,82847,152966,152980,152980, NA, NA,0,0,0, False, False, False, False, False,13.35
com-dblp.ungraph, reduced_model,317080,1049866,3,2, NA,1,124059,204031,204045,204045, NA, NA,0,0,0, False, False, False, False, False,17.03
soc-dogster.e, reduced_model,426816,8543549,12,11, NA,1,221076,214490,214559,214559, NA, NA,0,0,0, False, False, False, False, False,493.08
soc-twitter-higgs.e, reduced_model,456631,12508442,17,16, NA,3431,234446,231419,231572,231572, NA, NA,0,0,0, False, False, False, False, False,1255.88
web-Google, reduced_model,875713,4322051,4,3, NA,1738,429949,492655,492712,492712, NA, NA,0,0,0, False, False, False, False, False,231.16
