instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model,4039,88234,17,10, NA,91610,2479,2061,2202,2202, NA, NA,0,0,0, False, False, False, False, False,270.45
CA-HepPh, reduced_model,12006,118489,4,10, NA,1,6049,6591,6636,6636, NA, NA,0,0,0, False, False, False, False, False,0.83
socfb-Syracuse56, reduced_model,13653,543982,46,10, NA,23072,8085,6985,7054,7113, NA, NA,0,0,0, False, False, False, False, False,3604.21
socfb-Northeastern19, reduced_model,13882,381934,33,10, NA,11918,8120,7008,7077,7077, NA, NA,0,0,0, False, False, False, False, False,692.55
CA-CondMat, reduced_model,23133,93439,4,10, NA,1,10848,13464,13514,13514, NA, NA,0,0,0, False, False, False, False, False,1.26
Brightkite_edges, reduced_model,58228,214078,2,10, NA,1,25887,34706,34748,34748, NA, NA,0,0,0, False, False, False, False, False,2.43
flickrEdges, reduced_model,105938,2316948,5,10, NA,0,652,105291,105296,105296, NA, NA,0,0,0, False, False, False, False, False,34.07
soc-catster.e, reduced_model,149684,5448197,21,10, NA,1,72742,78945,79036,79036, NA, NA,0,0,0, False, False, False, False, False,1102.77
Gowalla_edges, reduced_model,196591,950327,3,10, NA,1,100437,106417,106478,106478, NA, NA,0,0,0, False, False, False, False, False,15.93
ca-citeseer, reduced_model,227320,814134,3,10, NA,1,82847,152966,153024,153024, NA, NA,0,0,0, False, False, False, False, False,12
com-dblp.ungraph, reduced_model,317080,1049866,3,10, NA,1,124059,204031,204088,204088, NA, NA,0,0,0, False, False, False, False, False,15.32
soc-dogster.e, reduced_model,426816,8543549,12,10, NA,1,221076,214490,214554,214554, NA, NA,0,0,0, False, False, False, False, False,484.64
soc-twitter-higgs.e, reduced_model,456631,12508442,17,10, NA,3093,234446,231419,231531,231531, NA, NA,0,0,0, False, False, False, False, False,1254.44
web-Google, reduced_model,875713,4322051,4,10, NA,1982,429949,492655,492816,492816, NA, NA,0,0,0, False, False, False, False, False,235.86
web-hudong.e, reduced_model,1974655,14428382,5,10, NA,2395,959493,1055322,1055411,1055411, NA, NA,0,0,0, False, False, False, False, False,803.18
web-baidu-baike.e, reduced_model,2140198,17014946,3,10, NA,1709,895053,1277646,1277713,1277713, NA, NA,0,0,0, False, False, False, False, False,1043.54
